,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
892,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.9392827988410506
888,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.9392827988410506
548,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.9392827988410506
551,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.9392827988410506
552,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.9392827988410506
553,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.9392827988410506
554,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.9392827988410506
555,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.9392827988410506
556,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.9392827988410506
889,ilustracja boskiej komedii dantego : raj : pieśń x : wersy 64-138 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.9392827988410506
549,"ilustracja boskiej komedii dantego : czyściec : pieśń x : wersy 1-75, 100-139 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.9392827988410506
