,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
990,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.931206819237414
991,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.931206819237414
992,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.931206819237414
993,ilustracja boskiej komedii dantego : raj : pieśń xx : wersy 37-72 ; -,"ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.931206819237414
902,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.931206819237414
913,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.931206819237414
652,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
654,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
655,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
544,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
543,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
656,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
542,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
541,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
540,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
539,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
538,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
526,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
525,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
524,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
563,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
522,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
521,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
520,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
519,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
518,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
516,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
515,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
653,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
651,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
513,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
650,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -","ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
565,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
566,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
568,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
569,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
570,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -","ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
571,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
572,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
562,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
912,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.931206819237414
573,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
561,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
574,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
560,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
559,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
558,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
546,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
545,ilustracja boskiej komedii dantego : czyściec : pieśń ix : wersy 70-108 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
575,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.931206819237414
576,"ilustracja boskiej komedii dantego : czyściec : pieśń xii : wersy 28-43, 88-107 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.931206819237414
648,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
649,"ilustracja boskiej komedii dantego : czyściec : pieśń xx : wersy 1-18,139-144 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
514,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
523,ilustracja boskiej komedii dantego : czyściec : pieśń vii : wersy 70-136 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.931206819237414
512,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.931206819237414
863,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.931206819237414
876,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.931206819237414
877,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.931206819237414
511,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.931206819237414
879,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.931206819237414
880,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.931206819237414
881,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.931206819237414
882,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.931206819237414
883,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.931206819237414
895,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.931206819237414
896,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.931206819237414
897,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.931206819237414
898,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.931206819237414
899,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.931206819237414
900,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.931206819237414
901,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.931206819237414
903,"ilustracja boskiej komedii dantego : raj : pieśń xi : wersy 13-15, 28-39 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120 ; -",0.931206819237414
905,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.931206819237414
906,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.931206819237414
907,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.931206819237414
908,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.931206819237414
909,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.931206819237414
910,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.931206819237414
911,"ilustracja boskiej komedii dantego : raj : pieśń xii : wersy 19-21, 80, 130-145 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.931206819237414
875,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.931206819237414
878,"ilustracja boskiej komedii dantego : raj : pieśń ix : wersy 22-66, 82-96 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.931206819237414
564,ilustracja boskiej komedii dantego : czyściec : pieśń xi : wersy 1-51 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.931206819237414
858,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxiv : wersy 19-45 ; -,0.931206819237414
510,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,"ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.931206819237414
862,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138 ; -",0.931206819237414
509,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.931206819237414
508,ilustracja boskiej komedii dantego : czyściec : pieśń vi : wersy 55-78 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.931206819237414
861,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145 ; -,0.931206819237414
855,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96 ; -",0.931206819237414
856,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -",ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142 ; -,0.931206819237414
860,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117 ; -",0.931206819237414
857,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66 ; -",0.931206819237414
859,"ilustracja boskiej komedii dantego : raj : pieśń vii : wersy 1-9, 35-45 ; -","ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145 ; -",0.931206819237414
166,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
167,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
168,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
293,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
169,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
164,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
292,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
291,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
219,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
218,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
165,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
156,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
163,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
297,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
294,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
295,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
157,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
162,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
161,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
158,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
150,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
151,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
152,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
153,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
154,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
155,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
296,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
189,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
299,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9308252594108334
201,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
217,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
216,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
215,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
214,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
213,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
212,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
188,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
187,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
186,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
185,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
184,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
183,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
182,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
181,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
206,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxv : wersy 17-34, 49-84 ; -",0.9308252594108334
207,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9308252594108334
203,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9308252594108334
204,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
205,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9308252594108334
298,ilustracja boskiej komedii dantego : piekło : pieśń xx : wersy 1-39 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9308252594108334
202,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66 ; -,"ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9308252594108334
211,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126 ; -,ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9308252594108334
